city,lat,lon,timestamp,pm2_5,pm10,no2,o3,so2,co,aqi_category
Kadapa,14.4752936,78.8216861,2025-11-24 00:00:00,7.2,9.0,6.5,52.0,3.2,234.0,Good
Mydukuru,14.7257836,78.7315146,2025-11-24 00:00:00,7.3,9.3,4.4,52.0,1.8,275.0,Good
Kadiri,14.1082305,78.161069,2025-11-24 00:00:00,4.9,5.8,3.2,57.0,1.4,210.0,Good
Mudigubba,14.3507342,77.9957871,2025-11-24 00:00:00,5.6,6.6,6.4,51.0,6.0,214.0,Good
Fategarh,20.2990756,85.3278069,2025-11-24 00:00:00,68.7,69.8,22.5,49.0,18.4,598.0,Moderate
Kakdwip,21.8760278,88.1852758,2025-11-24 00:00:00,137.4,141.6,23.0,62.0,26.9,989.0,Very Poor
Jharsuguda,21.8653634,84.0239656,2025-11-24 00:00:00,139.2,142.0,28.4,69.0,68.6,828.0,Very Poor
Lakhani,21.0721357,79.8261077,2025-11-24 00:00:00,77.5,79.4,27.8,39.0,11.1,760.0,Moderate
Saraipali,21.3152106,83.0047891,2025-11-24 00:00:00,101.7,103.6,17.0,69.0,28.3,559.0,Poor
Rajnandgaon,21.0964906,81.029154,2025-11-24 00:00:00,106.6,108.0,54.1,44.0,23.6,985.0,Poor
Rairakhol,21.0734728,84.3407337,2025-11-24 00:00:00,80.3,81.7,13.9,64.0,29.9,384.0,Moderate
Majalgaon,19.1551307,76.2099185,2025-11-24 00:00:00,25.8,26.2,8.1,62.0,6.1,506.0,Good
Mayyanad,8.8395937,76.6459316,2025-11-24 00:00:00,13.9,14.0,16.1,28.0,4.6,272.0,Good
Sanawad,22.1716912,76.0724656,2025-11-24 00:00:00,58.9,60.1,7.0,90.0,10.1,404.0,Satisfactory
Kandagallu,14.2640996,75.9639126,2025-11-24 00:00:00,6.8,7.0,6.1,65.0,5.5,201.0,Good
Tindivanam,12.2261678,79.6515049,2025-11-24 00:00:00,9.9,11.6,13.0,43.0,6.7,229.0,Good
Jammikunta,18.2897332,79.4739441,2025-11-24 00:00:00,75.7,76.4,17.3,73.0,15.4,677.0,Moderate
